date,1. open,2. high,3. low,4. close,5. volume
2019-07-24 14:58:00,207.86,207.95,207.86,207.92,401483.0
2019-07-24 14:59:00,207.94,207.96,207.91,207.96,31600.0
2019-07-24 15:00:00,207.96,208.08,207.941,208.07,50700.0
2019-07-24 15:01:00,208.07,208.08,207.99,208.03,53656.0
2019-07-24 15:02:00,208.04,208.0501,207.97,207.99,25508.0
2019-07-24 15:03:00,207.99,208.09,207.965,208.09,52585.0
2019-07-24 15:04:00,208.1,208.18,208.06,208.16,34243.0
2019-07-24 15:05:00,208.16,208.2,208.1209,208.1209,27255.0
2019-07-24 15:06:00,208.14,208.1496,208.11,208.14,14659.0
2019-07-24 15:07:00,208.15,208.1684,208.12,208.14,16140.0
2019-07-24 15:08:00,208.15,208.15,208.09,208.1243,19421.0
2019-07-24 15:09:00,208.12,208.14,208.1,208.14,12992.0
2019-07-24 15:10:00,208.14,208.205,208.13,208.15,33916.0
2019-07-24 15:11:00,208.15,208.29,208.14,208.25,46790.0
2019-07-24 15:12:00,208.27,208.38,208.23,208.37,61618.0
2019-07-24 15:13:00,208.3799,208.43,208.3435,208.4285,27370.0
2019-07-24 15:14:00,208.43,208.49,208.43,208.49,30371.0
2019-07-24 15:15:00,208.485,208.59,208.48,208.54,60903.0
2019-07-24 15:16:00,208.54,208.62,208.51,208.5261,46438.0
2019-07-24 15:17:00,208.52,208.53,208.47,208.52,46185.0
2019-07-24 15:18:00,208.525,208.525,208.39,208.47,51265.0
2019-07-24 15:19:00,208.4798,208.4802,208.42,208.43,18852.0
2019-07-24 15:20:00,208.43,208.49,208.42,208.47,16682.0
2019-07-24 15:21:00,208.47,208.49,208.44,208.44,16156.0
2019-07-24 15:22:00,208.44,208.52,208.43,208.4695,53691.0
2019-07-24 15:23:00,208.46,208.465,208.43,208.4438,22172.0
2019-07-24 15:24:00,208.44,208.49,208.44,208.48,26276.0
2019-07-24 15:25:00,208.47,208.47,208.42,208.435,33140.0
2019-07-24 15:26:00,208.43,208.5,208.41,208.5,18448.0
2019-07-24 15:27:00,208.5,208.56,208.48,208.5032,53395.0
2019-07-24 15:28:00,208.506,208.51,208.45,208.51,26885.0
2019-07-24 15:29:00,208.525,208.54,208.455,208.5,29113.0
2019-07-24 15:30:00,208.5,208.58,208.49,208.52,31537.0
2019-07-24 15:31:00,208.53,208.59,208.47,208.59,25726.0
2019-07-24 15:32:00,208.585,208.585,208.47,208.49,27736.0
2019-07-24 15:33:00,208.4985,208.57,208.49,208.565,17782.0
2019-07-24 15:34:00,208.57,208.6,208.51,208.545,65852.0
2019-07-24 15:35:00,208.54,208.55,208.5,208.52,22922.0
2019-07-24 15:36:00,208.52,208.58,208.455,208.49,31873.0
2019-07-24 15:37:00,208.49,208.54,208.48,208.54,20624.0
2019-07-24 15:38:00,208.54,208.55,208.515,208.53,20811.0
2019-07-24 15:39:00,208.53,208.57,208.52,208.56,34175.0
2019-07-24 15:40:00,208.56,208.6,208.5,208.57,26315.0
2019-07-24 15:41:00,208.57,208.62,208.54,208.6,50671.0
2019-07-24 15:42:00,208.61,208.62,208.58,208.605,36810.0
2019-07-24 15:43:00,208.61,208.62,208.5771,208.59,36834.0
2019-07-24 15:44:00,208.6,208.61,208.4771,208.4834,34181.0
2019-07-24 15:45:00,208.48,208.52,208.47,208.5035,28167.0
2019-07-24 15:46:00,208.51,208.54,208.445,208.46,35726.0
2019-07-24 15:47:00,208.45,208.46,208.38,208.3998,36485.0
2019-07-24 15:48:00,208.39,208.44,208.32,208.34,40260.0
2019-07-24 15:49:00,208.34,208.46,208.34,208.44,43408.0
2019-07-24 15:50:00,208.4395,208.445,208.39,208.42,19113.0
2019-07-24 15:51:00,208.42,208.48,208.4,208.45,45283.0
2019-07-24 15:52:00,208.45,208.46,208.36,208.39,26119.0
2019-07-24 15:53:00,208.395,208.41,208.315,208.315,37550.0
2019-07-24 15:54:00,208.31,208.36,208.31,208.34,62156.0
2019-07-24 15:55:00,208.325,208.375,208.191,208.21,104359.0
2019-07-24 15:56:00,208.21,208.44,208.21,208.36,165631.0
2019-07-24 15:57:00,208.35,208.36,208.21,208.33,78540.0
2019-07-24 15:58:00,208.33,208.37,208.28,208.355,51619.0
2019-07-24 15:59:00,208.35,208.37,208.21,208.37,121365.0
2019-07-24 16:00:00,208.37,208.38,208.36,208.36,1745.0
2019-07-25 09:31:00,208.87,209.24,208.72,209.217,571236.0
2019-07-25 09:32:00,209.2,209.23,208.635,208.67,119052.0
2019-07-25 09:33:00,208.67,208.86,208.67,208.846,7935.0
2019-07-25 09:34:00,208.53,208.54,208.25,208.26,145245.0
2019-07-25 09:35:00,208.25,208.68,208.23,208.5826,100107.0
2019-07-25 09:36:00,208.578,208.58,208.31,208.35,68652.0
2019-07-25 09:37:00,208.37,208.56,208.32,208.55,46744.0
2019-07-25 09:38:00,208.55,208.64,208.34,208.34,67519.0
2019-07-25 09:39:00,208.34,208.64,208.276,208.505,54991.0
2019-07-25 09:40:00,208.49,208.5812,208.33,208.36,48548.0
2019-07-25 09:41:00,208.35,208.4,208.19,208.4,61440.0
2019-07-25 09:42:00,208.36,208.3689,207.99,208.09,67893.0
2019-07-25 09:43:00,208.0694,208.2276,207.82,207.8587,89113.0
2019-07-25 09:44:00,207.84,208.02,207.8101,207.97,77783.0
2019-07-25 09:45:00,207.98,208.05,207.81,207.886,86324.0
2019-07-25 09:46:00,207.88,208.02,207.76,207.78,47982.0
2019-07-25 09:47:00,207.76,208.08,207.73,208.08,51417.0
2019-07-25 09:48:00,208.06,208.13,207.8975,207.93,66937.0
2019-07-25 09:49:00,207.93,207.93,207.73,207.924,75160.0
2019-07-25 09:50:00,207.89,208.1,207.88,208.013,52831.0
2019-07-25 09:51:00,207.925,208.04,207.89,207.99,58533.0
2019-07-25 09:52:00,208.025,208.15,207.98,208.13,86290.0
2019-07-25 09:53:00,208.12,208.15,207.88,207.95,53072.0
2019-07-25 09:54:00,207.94,208.1163,207.9399,208.01,32349.0
2019-07-25 09:55:00,208.0,208.11,207.94,208.03,52920.0
2019-07-25 09:56:00,208.03,208.1,207.938,208.08,37028.0
2019-07-25 09:57:00,208.07,208.24,208.06,208.19,40441.0
2019-07-25 09:58:00,207.96,207.99,207.9,207.9878,49223.0
2019-07-25 09:59:00,207.99,208.17,207.98,208.17,37374.0
2019-07-25 10:00:00,208.15,208.26,208.15,208.25,47280.0
2019-07-25 10:07:00,208.44,208.62,208.43,208.62,432764.0
2019-07-25 10:08:00,208.65,208.67,208.43,208.4301,48002.0
2019-07-25 10:09:00,208.41,208.515,208.39,208.5,43154.0
2019-07-25 10:10:00,208.47,208.54,208.4,208.4036,27703.0
2019-07-25 10:11:00,208.43,208.55,208.43,208.49,25583.0
2019-07-25 10:12:00,208.49,208.49,208.33,208.34,37994.0
2019-07-25 10:13:00,208.34,208.3964,208.2531,208.2931,28649.0
2019-07-25 10:14:00,208.28,208.35,208.21,208.24,25455.0
2019-07-25 10:15:00,208.26,208.3153,208.25,208.28,31427.0
2019-07-25 10:16:00,208.2731,208.32,208.22,208.3,18274.0
2019-07-25 10:17:00,208.32,208.32,208.3,208.3,21938.0
